state_district,round,mean_wage_wtd,n_obs,ln_wage,year,sector
01_09,2019-20,9961.01523873465,4,9.206434276983837,2019,rural
01_09,2020-21,6053.938037165921,8,8.708464254505486,2020,rural
01_09,2021-22,9646.86529877723,42,9.1743883020563,2021,rural
01_09,2022-23,15742.478200949114,25,9.664117955635822,2022,rural
01_10,2017-18,11754.215560055434,147,9.371967226297903,2017,rural
01_10,2018-19,10536.143793274894,289,9.26256689113512,2018,rural
01_10,2019-20,10571.905905351663,344,9.265955375320559,2019,rural
01_10,2020-21,12883.165125426434,338,9.463676709021069,2020,rural
01_10,2021-22,13168.557949015576,245,9.485587293603007,2021,rural
01_10,2022-23,14819.797807067223,272,9.603719255509182,2022,rural
01_11,2017-18,6378.84719379583,5,8.760742669384705,2017,rural
01_11,2018-19,9936.610405213069,26,9.203981235983255,2018,rural
01_11,2019-20,4834.997496549381,36,8.483635890110504,2019,rural
01_11,2020-21,9172.713931796674,12,9.12398847912962,2020,rural
01_11,2021-22,16852.112490801104,14,9.732231298296252,2021,rural
01_11,2022-23,11803.120907967023,25,9.37611925921012,2022,rural
01_12,2017-18,9100.633264555776,22,9.116099279595327,2017,rural
01_12,2018-19,10877.363851808861,15,9.29443919801996,2018,rural
01_12,2019-20,22666.666666666668,3,10.028650695490134,2019,rural
01_12,2020-21,20161.86457921499,39,9.91154820695682,2020,rural
01_12,2021-22,19040.40495565352,18,9.854318576798462,2021,rural
01_12,2022-23,22395.893866544877,26,10.016632911510639,2022,rural
01_13,2018-19,15149.628689045325,13,9.62573130166326,2018,rural
01_13,2019-20,15023.48754748766,22,9.617370091939781,2019,rural
01_13,2020-21,18391.92082162805,8,9.819666761389604,2020,rural
01_13,2021-22,27206.561418858553,10,10.211213451827646,2021,rural
01_13,2022-23,47700,1,10.772686676876432,2022,rural
01_14,2017-18,6760.578584690854,8,8.81886375482575,2017,rural
01_14,2018-19,12634.734833425407,29,9.444205032932139,2018,rural
01_14,2019-20,11705.791792020747,39,9.367839023260451,2019,rural
01_14,2020-21,18236.923355430463,25,9.81120357371186,2020,rural
01_14,2021-22,24516.614821116826,38,10.107106322652923,2021,rural
01_14,2022-23,18319.33177930486,77,9.81571216263412,2022,rural
01_15,2018-19,14326.191058624045,14,9.569844683580234,2018,rural
01_15,2019-20,13252.987594743041,27,9.491978284846365,2019,rural
01_15,2020-21,8822.34144543575,26,9.085042583773964,2020,rural
01_15,2021-22,14400,2,9.574983485564092,2021,rural
01_16,2018-19,16142.857142857143,7,9.689232948639164,2018,rural
01_16,2019-20,16000,1,9.680344001221918,2019,rural
01_16,2020-21,13978.539616940105,9,9.54527854802366,2020,rural
01_16,2021-22,18500,2,9.825526011066415,2021,rural
01_17,2019-20,19267.60572962198,6,9.866180505096388,2019,rural
01_19,2017-18,11000.066676435832,13,9.305656613256303,2017,rural
01_19,2018-19,22298.38977513154,26,10.012269747447926,2018,rural
01_19,2019-20,9696.356681705953,34,9.179505494112064,2019,rural
01_19,2020-21,20973.23017995929,23,9.951002150181104,2020,rural
01_19,2021-22,36875.327219202896,21,10.515297967343844,2021,rural
01_19,2022-23,20902.60719046391,11,9.947629176127984,2022,rural
01_20,2018-19,41829.99618806189,6,10.641368973306951,2018,rural
01_20,2019-20,35111.643422007386,14,10.466288075871281,2019,rural
01_20,2020-21,20000,1,9.903487552536127,2020,rural
01_20,2021-22,11842.956899947829,10,9.37948861542988,2021,rural
01_20,2022-23,19601.38159123738,8,9.883355332083196,2022,rural
01_21,2017-18,16784.156442914136,59,9.728190651547962,2017,rural
01_21,2018-19,29460.118941270546,96,10.290792727390363,2018,rural
01_21,2019-20,28118.317720902425,57,10.244176519131544,2019,rural
01_21,2020-21,40517.4290132571,91,10.609487506528694,2020,rural
01_21,2021-22,24530.120069478806,117,10.107657032041974,2021,rural
01_21,2022-23,25007.069787443874,98,10.126913855370114,2022,rural
01_22,2018-19,30848.927965513627,9,10.336857278827429,2018,rural
01_22,2019-20,32972.9510102208,13,10.403442837981526,2019,rural
01_22,2020-21,40000,3,10.596634733096073,2020,rural
01_22,2022-23,25169.949148963213,5,10.133406067823913,2022,rural
02_01,2017-18,6000,2,8.699514748210191,2017,rural
02_01,2018-19,15000,1,9.615805480084347,2018,rural
02_01,2019-20,13370.569262846966,3,9.50081124681464,2019,rural
02_01,2020-21,10056.849968340848,3,9.216009270200644,2020,rural
02_01,2021-22,14805.970147377271,8,9.602785766749307,2021,rural
02_01,2022-23,24353.493287080015,5,10.100430579702847,2022,rural
02_02,2017-18,7205.577178545614,7,8.88261061328144,2017,rural
02_02,2018-19,8361.752385901604,12,9.03142329965095,2018,rural
02_02,2019-20,7272.6773130760685,17,8.891879771382012,2019,rural
02_02,2020-21,9984.794356820272,18,9.208818650427043,2020,rural
02_02,2021-22,10524.855284766623,13,9.261494908790176,2021,rural
02_02,2022-23,14507.316729398575,4,9.582408403167362,2022,rural
02_04,2017-18,22925.182145421033,9,10.039991242367739,2017,rural
02_04,2018-19,15057.598707936217,17,9.619638040296437,2018,rural
02_04,2019-20,16945.01962012122,16,9.737729241911312,2019,rural
02_04,2021-22,16000,1,9.680344001221918,2021,rural
02_04,2022-23,14500,2,9.581903928408666,2022,rural
02_05,2017-18,12400,5,9.425451751593128,2017,rural
02_05,2018-19,28554.25228797259,3,10.25956114577881,2018,rural
02_05,2019-20,20781.105538968615,8,9.941799465305825,2019,rural
02_05,2020-21,14738.651713966667,13,9.598228690322582,2020,rural
02_05,2021-22,13806.754062609347,3,9.532913176242793,2021,rural
02_05,2022-23,33436.66724994288,9,10.417408398653631,2022,rural
02_06,2017-18,11076.24309039205,13,9.31255783153936,2017,rural
02_06,2018-19,24494.48655704948,19,10.106203332720082,2018,rural
02_06,2019-20,22324.345926471266,2,10.013433107509073,2019,rural
02_06,2020-21,41952.25782252908,3,10.644287532199792,2020,rural
02_06,2021-22,14745.46168291915,3,9.598690631910033,2021,rural
02_06,2022-23,15428.78847194121,6,9.643990424577915,2022,rural
02_07,2018-19,23882.68302947239,18,10.08090891586325,2018,rural
02_07,2019-20,14490.978547025112,15,9.581281565610428,2019,rural
02_07,2020-21,140868.22709189414,10,11.855580172755223,2020,rural
02_07,2021-22,10259.900993803878,20,9.235998468951484,2021,rural
02_07,2022-23,3986.3119393824945,6,8.290621756461936,2022,rural
02_08,2019-20,4200,1,8.34283980427146,2019,rural
02_08,2022-23,13573.47146174685,4,9.515872538959341,2022,rural
02_09,2017-18,22184.802789234822,11,10.007162774399365,2017,rural
02_09,2018-19,19065.21268097207,13,9.855620627801017,2018,rural
02_09,2019-20,21538.447082713043,12,9.977594853529872,2019,rural
02_09,2020-21,32513.08510409572,8,10.389397905876274,2020,rural
02_09,2021-22,11105.423940983479,10,9.315188911284995,2021,rural
02_09,2022-23,15571.814362632222,23,9.653217787430943,2022,rural
02_10,2017-18,9771.605981600502,2,9.187236110402257,2017,rural
02_10,2018-19,10301.30942086155,3,9.240026294376603,2018,rural
02_10,2020-21,29447.5091696396,5,10.2903646072223,2020,rural
02_10,2021-22,14013.2249603309,10,9.547756802729428,2021,rural
02_10,2022-23,11156.842899095032,12,9.319808301566825,2022,rural
02_11,2017-18,21355.060323177957,7,9.969044008051627,2017,rural
02_11,2018-19,33250,2,10.411810046084,2018,rural
02_11,2019-20,28432.768221994706,13,10.255297569654998,2019,rural
02_11,2020-21,23697.752000590288,13,10.07313547032869,2020,rural
02_11,2021-22,38742.3075524942,28,10.564687500300485,2021,rural
02_11,2022-23,14829.043414704965,9,9.604342929660106,2022,rural
03_01,2017-18,12108.434026860761,2,9.401657515787614,2017,rural
03_01,2018-19,12145.583257535085,20,9.4047208647817,2018,rural
03_01,2019-20,21882.62048366174,21,9.993448015528223,2019,rural
03_01,2020-21,11809.375469215047,22,9.376649026270274,2020,rural
03_01,2021-22,15498.017147327673,16,9.648467368745253,2021,rural
03_01,2022-23,11310.787686390391,6,9.333512211812412,2022,rural
03_02,2017-18,7679.979936237992,7,8.946372213669294,2017,rural
03_02,2018-19,30931.16784563961,3,10.33951962266562,2018,rural
03_02,2019-20,32669.12489930602,13,10.39418571817288,2019,rural
03_02,2020-21,12439.436788206205,17,9.428627091008309,2020,rural
03_02,2021-22,11270.937247985295,18,9.329982766662503,2021,rural
03_02,2022-23,22649.59191784784,6,10.027897113876815,2022,rural
03_03,2017-18,13457.248857372755,41,9.507273188352952,2017,rural
03_03,2018-19,16253.3139752425,104,9.696052103903574,2018,rural
03_03,2019-20,15072.290738733507,58,9.620613286620376,2019,rural
03_03,2020-21,13912.32609775624,82,9.540530495793638,2020,rural
03_03,2021-22,18261.243459303765,71,9.812536249273137,2021,rural
03_03,2022-23,19735.651592142563,61,9.89018200463538,2022,rural
03_04,2017-18,7802.6990896615935,24,8.962224989956743,2017,rural
03_04,2018-19,11431.175682297098,22,9.344099610842775,2018,rural
03_04,2019-20,13801.684313030411,18,9.532545915366468,2019,rural
03_04,2020-21,9625.12439009631,18,9.172132082718845,2020,rural
03_04,2021-22,9148.208782291991,19,9.12131337760764,2021,rural
03_04,2022-23,18286.889185264423,24,9.813939644101497,2022,rural
03_05,2017-18,4326.735169438111,2,8.372568534154492,2017,rural
03_05,2018-19,3515.347934292084,4,8.164893784919867,2018,rural
03_05,2019-20,23219.279526663853,20,10.052738226633714,2019,rural
03_05,2020-21,5339.597385649706,6,8.582905533166075,2020,rural
03_05,2022-23,12478.700569026676,26,9.431778515430864,2022,rural
03_06,2017-18,23963.292471654684,21,10.084278458133282,2017,rural
03_06,2018-19,26368.100982245494,7,10.179910262429015,2018,rural
03_06,2019-20,16185.147868737111,9,9.691849302477838,2019,rural
03_06,2020-21,22542.522878212374,13,10.023158710265967,2020,rural
03_06,2021-22,19296.098456308846,11,9.867658201934544,2021,rural
03_06,2022-23,11016.606448302171,4,9.307159090482003,2022,rural
03_07,2017-18,15177.6528283236,63,9.627579416354228,2017,rural
03_07,2018-19,16218.837510681164,89,9.693928654982678,2018,rural
03_07,2019-20,15237.535539848,116,9.631517106180441,2019,rural
03_07,2020-21,20878.777594129442,96,9.94648849594033,2020,rural
03_07,2021-22,15235.561013123439,74,9.631387514707917,2021,rural
03_07,2022-23,26735.19893465037,50,10.193736288337021,2022,rural
03_08,2017-18,18299.998401947494,4,9.814656251504235,2017,rural
03_08,2018-19,17008.53872143314,12,9.741470774670477,2018,rural
03_08,2019-20,12341.665832004413,34,9.420736282838265,2019,rural
03_08,2020-21,24383.89319005375,3,10.101678078147618,2020,rural
03_08,2021-22,19392.13531251024,10,9.872622866593781,2021,rural
03_08,2022-23,23257.39071164685,21,10.05437824057317,2022,rural
03_09,2017-18,7122.194982896237,7,8.870971241010878,2017,rural
03_09,2018-19,8810.766248868642,14,9.083729690048088,2018,rural
03_09,2019-20,11879.216350390676,12,9.382545626969103,2019,rural
03_09,2020-21,12076.260757073098,13,9.398996883594027,2020,rural
03_09,2021-22,14108.998981076995,21,9.554568098395208,2021,rural
03_09,2022-23,17271.758585623353,39,9.756827994886642,2022,rural
03_10,2017-18,17142.703394164604,17,9.749327903994919,2017,rural
03_10,2018-19,11763.033382384214,11,9.37271712887057,2018,rural
03_10,2019-20,10389.52200205422,12,9.248553077457911,2019,rural
03_10,2020-21,17111.302691700595,12,9.747494500265086,2020,rural
03_10,2021-22,23176.858583667195,19,10.050909585003378,2021,rural
03_10,2022-23,24309.19294055253,3,10.09860986809814,2022,rural
03_11,2017-18,13724.230518914299,7,9.526918200610396,2017,rural
03_11,2018-19,17153.506451402605,14,9.749957889503168,2018,rural
03_11,2019-20,16922.9240654742,15,9.736424435337462,2019,rural
03_11,2020-21,15732.590467050497,31,9.663489665713524,2020,rural
03_11,2021-22,12818.181147499517,13,9.4586198442392,2021,rural
03_11,2022-23,2500,1,7.824046010856292,2022,rural
03_12,2017-18,15371.19459586473,47,9.640250556080046,2017,rural
03_12,2018-19,18870.376304932743,76,9.845348580131576,2018,rural
03_12,2019-20,15309.167653880517,41,9.636207121000126,2019,rural
03_12,2020-21,13739.505136881287,45,9.528030548889115,2020,rural
03_12,2021-22,18246.111721305435,27,9.81170727994408,2021,rural
03_12,2022-23,24988.542422355622,37,10.126172695691595,2022,rural
03_13,2017-18,19922.080458243105,8,9.899583966359897,2017,rural
03_13,2018-19,23984.84070108371,19,10.08517727230826,2018,rural
03_13,2019-20,15539.83075271842,17,9.65116173278887,2019,rural
03_13,2020-21,14094.454526227615,25,9.553536702992872,2020,rural
03_13,2021-22,22248.478740932078,16,10.010028914062906,2021,rural
03_13,2022-23,24573.288717223993,11,10.109415307482857,2022,rural
03_14,2017-18,17988.208972299297,24,9.797471765140179,2017,rural
03_14,2018-19,16010.110684528707,65,9.680975719428993,2018,rural
03_14,2019-20,16988.162074825985,35,9.740272031935449,2019,rural
03_14,2020-21,23629.187647061637,64,10.07023799155623,2020,rural
03_14,2021-22,26697.63841078154,44,10.192330391442095,2021,rural
03_14,2022-23,19974.661515507483,23,9.902219825084517,2022,rural
03_15,2017-18,22543.689749996516,23,10.023210472067031,2017,rural
03_15,2018-19,24657.665789901323,43,10.112843116516437,2018,rural
03_15,2019-20,19666.526794537764,76,9.886673322052308,2019,rural
03_15,2020-21,15986.3957199737,59,9.67949337203783,2020,rural
03_15,2021-22,12486.768132486333,58,9.43242481323019,2021,rural
03_15,2022-23,16726.987590306835,82,9.724778717415807,2022,rural
03_16,2017-18,18076.925564528996,6,9.802391573276992,2017,rural
03_16,2020-21,9210.525971129504,4,9.128102236318984,2020,rural
03_16,2021-22,6444.147651127607,12,8.770927656996442,2021,rural
03_16,2022-23,19224.022135782172,10,9.863915928881632,2022,rural
03_17,2018-19,5750,2,8.656955133791396,2018,rural
03_17,2019-20,16370.065054443865,10,9.703209644361186,2019,rural
03_17,2020-21,5000,2,8.517193191416238,2020,rural
03_17,2021-22,25109.676737642596,9,10.131008578219403,2021,rural
03_17,2022-23,11533.997886698975,3,9.35305429095174,2022,rural
03_18,2017-18,22210.237348332805,20,10.008308603383952,2017,rural
03_18,2018-19,25907.46047783312,30,10.16228625554657,2018,rural
03_18,2019-20,29830.09342587353,24,10.303273009447354,2019,rural
03_18,2020-21,29707.627054025943,31,10.299159094988358,2020,rural
03_18,2021-22,24318.132810428233,50,10.098977557245687,2021,rural
03_18,2022-23,17684.86435305698,14,9.780464431440924,2022,rural
03_19,2017-18,19708.34098546211,46,9.88879722539474,2017,rural
03_19,2018-19,13343.41077917063,70,9.498777967386399,2018,rural
03_19,2019-20,13123.652710884,29,9.482171431591578,2019,rural
03_19,2020-21,10498.029073733192,27,9.258942811262896,2020,rural
03_19,2021-22,14760.002547406195,52,9.599676270742945,2021,rural
03_19,2022-23,15184.903283893267,30,9.628057008272425,2022,rural
03_20,2017-18,12500,2,9.433483923290392,2017,rural
03_20,2018-19,31028.46516165253,8,10.34266029317212,2018,rural
03_20,2019-20,25473.057232968342,8,10.145376593474055,2019,rural
03_20,2020-21,15333.999625445806,8,9.637827839692454,2020,rural
03_20,2021-22,8000,1,8.987196820661973,2021,rural
03_20,2022-23,39354.172696523776,16,10.58035728879604,2022,rural
03_21,2017-18,23629.99942504177,4,10.070272345849247,2017,rural
03_21,2018-19,18383.15231014599,7,9.819189888828845,2018,rural
03_21,2019-20,19678.43144542356,9,9.887278464453349,2019,rural
03_21,2020-21,12200.285838599679,7,9.4092146598403,2020,rural
03_21,2021-22,12600.019543633167,16,9.441453644020363,2021,rural
03_21,2022-23,12204.264919656109,20,9.409540753209615,2022,rural
03_22,2017-18,13023.805353876094,6,9.474534142942995,2017,rural
03_22,2018-19,18499.40248464191,24,9.825493712417357,2018,rural
03_22,2019-20,13386.660369830892,35,9.502013995316233,2019,rural
03_22,2020-21,13652.18802717304,8,9.521655082798222,2020,rural
03_22,2021-22,13167.56344689895,7,9.48551176979279,2021,rural
03_22,2022-23,15558.330924715503,19,9.65235152492973,2022,rural
04_01,2017-18,26890.759010293146,24,10.199537975353698,2017,rural
04_01,2018-19,29847.650915196726,39,10.303861419415714,2018,rural
04_01,2019-20,24626.790245811135,44,10.111590163735256,2019,rural
04_01,2020-21,33536.59063960514,50,10.420392379632169,2020,rural
04_01,2021-22,22804.256984529078,50,10.034702507362184,2021,rural
04_01,2022-23,26455.90070783279,37,10.18323450154878,2022,rural
05_01,2018-19,15000,2,9.615805480084347,2018,rural
05_01,2019-20,15000,1,9.615805480084347,2019,rural
05_02,2020-21,8000,2,8.987196820661973,2020,rural
05_02,2021-22,9507.6141873792,3,9.159848249972649,2021,rural
05_02,2022-23,10000,1,9.210340371976184,2022,rural
05_04,2019-20,20000,1,9.903487552536127,2019,rural
05_04,2020-21,16868.616782389832,2,9.733210179433305,2020,rural
05_04,2021-22,10477.105303903294,6,9.256947708262013,2021,rural
05_04,2022-23,23750,4,10.075337809462788,2022,rural
05_05,2017-18,18735.74903892661,14,9.838188691155914,2017,rural
05_05,2018-19,14487.53982457141,38,9.58104423653613,2018,rural
05_05,2019-20,17355.258257033496,60,9.761650809028355,2019,rural
05_05,2020-21,17047.300468490863,42,9.743747139882307,2020,rural
05_05,2021-22,20247.51679249113,65,9.915787437484013,2021,rural
05_05,2022-23,17763.443706942555,51,9.784897900167454,2022,rural
05_06,2020-21,23451.708068801556,13,10.062698609976676,2020,rural
05_06,2021-22,23179.262826130536,18,10.051013314236643,2021,rural
05_06,2022-23,15468.315117303142,7,9.646549024727017,2022,rural
05_07,2018-19,6155.38902260694,4,8.725083240944063,2018,rural
05_07,2019-20,10845.040501891968,5,9.291463157868291,2019,rural
05_07,2020-21,11000,1,9.305650551780507,2020,rural
05_07,2022-23,15000,2,9.615805480084347,2022,rural
05_09,2017-18,8535.419545905957,7,9.051979789955514,2017,rural
05_09,2018-19,9877.776557560532,6,9.198042720634215,2018,rural
05_09,2020-21,9000,2,9.104979856318357,2020,rural
05_09,2022-23,26154.608037697,5,10.171780669559633,2022,rural
05_10,2018-19,12309.524299521592,6,9.418128575013593,2018,rural
05_10,2020-21,16205.494957966339,9,9.693105658643072,2020,rural
05_10,2021-22,15157.234837331733,7,9.626233243966823,2021,rural
05_11,2017-18,12838.595064138739,42,9.460211152576509,2017,rural
05_11,2018-19,10806.581434029304,66,9.287910619548132,2018,rural
05_11,2019-20,12742.617255737807,71,9.452707344113222,2019,rural
05_11,2020-21,15137.275988181169,69,9.624915589283223,2020,rural
05_11,2021-22,13854.66154237155,31,9.536377028443775,2021,rural
05_11,2022-23,19922.736554743642,21,9.899616898949366,2022,rural
05_12,2017-18,12480.141248478722,26,9.431893959846448,2017,rural
05_12,2018-19,14774.40733016047,63,9.600651728451846,2018,rural
05_12,2019-20,13934.108329194478,50,9.54209495001043,2019,rural
05_12,2020-21,11439.761164663834,42,9.344850387501157,2020,rural
05_12,2021-22,13828.40696310533,37,9.53448023097476,2021,rural
05_12,2022-23,16107.643860072263,50,9.68704921222061,2022,rural
05_13,2017-18,24135.13567191694,15,10.091423969455091,2017,rural
05_13,2018-19,16875.250112959435,78,9.7336033371396,2018,rural
05_13,2019-20,17495.569633035935,101,9.769702964033716,2019,rural
05_13,2020-21,20108.511877939913,58,9.908898480920717,2020,rural
05_13,2021-22,19208.642374430656,73,9.863115580408868,2021,rural
05_13,2022-23,22363.430909652416,86,10.015182355107166,2022,rural
06_01,2017-18,12438.130870753715,9,9.428522103457148,2017,rural
06_01,2018-19,9479.605975614624,11,9.15689803063154,2018,rural
06_01,2019-20,59344.05607648007,14,10.991107244668264,2019,rural
06_01,2020-21,23195.738256488235,13,10.051723844939229,2020,rural
06_01,2021-22,39177.3607144499,6,10.575854326147605,2021,rural
06_01,2022-23,25748.60479578733,2,10.156135721936076,2022,rural
06_02,2017-18,15834.799945191908,15,9.669965325182288,2017,rural
06_02,2018-19,16362.591333894192,19,9.702752992105966,2018,rural
06_02,2019-20,15967.628973622057,14,9.678318762661434,2019,rural
06_02,2020-21,10826.405089033415,13,9.289743344819954,2020,rural
06_02,2021-22,17234.678048535974,23,9.754678798679942,2021,rural
06_02,2022-23,17418.194846757386,22,9.765270619707362,2022,rural
06_03,2017-18,14131.802850285034,16,9.556183057793348,2017,rural
06_03,2018-19,19634.62211722073,22,9.885049721460005,2018,rural
06_03,2019-20,23494.146392253722,11,10.06450657941293,2019,rural
06_03,2020-21,16120.758043078073,2,9.687863039959822,2020,rural
06_03,2021-22,15317.728130586265,58,9.636766137949733,2021,rural
06_03,2022-23,16691.721310253608,37,9.72266814556521,2022,rural
06_04,2017-18,28378.526350023858,13,10.253388023714823,2017,rural
06_04,2018-19,30061.44828557437,25,10.310998841972514,2018,rural
06_04,2019-20,22568.108911493662,25,10.024293078595997,2019,rural
06_04,2020-21,7567.732314557801,6,8.93164873940819,2020,rural
06_04,2021-22,11786.213665076344,26,9.374685793952045,2021,rural
06_04,2022-23,20734.75803435393,17,9.939566703181669,2022,rural
06_05,2017-18,5857.142857142857,4,8.675417196631132,2017,rural
06_05,2018-19,15200,1,9.629050706834368,2018,rural
06_05,2019-20,13533.280592326888,3,9.512907159795418,2019,rural
06_05,2020-21,22041.371326182893,10,10.000676481212531,2020,rural
06_05,2021-22,31466.666666666668,3,10.356684063465483,2021,rural
06_05,2022-23,13940.315499557326,12,9.542540316738265,2022,rural
06_06,2017-18,28017.78019722166,5,10.24059459466931,2017,rural
06_06,2018-19,16286.920222653824,39,9.698117624339291,2018,rural
06_06,2019-20,12804.637153987474,33,9.457562661956276,2019,rural
06_06,2020-21,13599.281660995195,36,9.517772251284697,2020,rural
06_06,2021-22,18592.48954335479,22,9.830512990165293,2021,rural
06_06,2022-23,13949.298971395649,31,9.543184533040241,2022,rural
06_07,2017-18,15564.199885936001,20,9.65272867686032,2017,rural
06_07,2018-19,13521.670882049875,40,9.512048927911275,2018,rural
06_07,2019-20,19964.20472917783,43,9.901696185454663,2019,rural
06_07,2020-21,12487.25610062017,41,9.432463891284199,2020,rural
06_07,2021-22,17076.457232415716,33,9.745456023837933,2021,rural
06_07,2022-23,18535.357964900675,41,9.827435428314482,2022,rural
06_08,2017-18,16783.333333333332,3,9.728141609478598,2017,rural
06_08,2018-19,17081.08265756185,37,9.745726852778734,2018,rural
06_08,2019-20,15583.826836548777,33,9.653988914202818,2019,rural
06_08,2020-21,11223.96084552675,31,9.325806133316371,2020,rural
06_08,2021-22,22790.628714284067,19,10.034104709146792,2021,rural
06_08,2022-23,27326.511571664672,30,10.215612629782433,2022,rural
06_09,2018-19,21801.59882484175,21,9.989738586676962,2018,rural
06_09,2019-20,9182.967599340474,16,9.12510569927674,2019,rural
06_09,2020-21,11128.170613442682,14,9.317235065391092,2020,rural
06_09,2021-22,15500.171444990667,9,9.648606363813306,2021,rural
06_09,2022-23,20178.465291961867,12,9.912371240072165,2022,rural
06_10,2018-19,11750.619780236337,9,9.371661265435375,2018,rural
06_10,2019-20,22790.15763486908,8,10.03408403905956,2019,rural
06_10,2020-21,15779.376700790463,6,9.666459094303553,2020,rural
06_10,2021-22,16800,6,9.72913416539135,2021,rural
06_10,2022-23,15288.487122277078,31,9.634855348460444,2022,rural
06_11,2017-18,11495.517210629925,26,9.349712430585232,2017,rural
06_11,2018-19,12749.62123248195,11,9.453256842888985,2018,rural
06_11,2019-20,12314.456450996133,8,9.418529172430434,2019,rural
06_11,2020-21,15994.089679791532,21,9.679974537965744,2020,rural
06_11,2021-22,16284.978020443845,18,9.697998368028358,2021,rural
06_11,2022-23,20487.7272774471,5,9.9275813164596,2022,rural
06_12,2017-18,16930.95799184524,18,9.736899058986724,2017,rural
06_12,2018-19,18276.823717929346,33,9.813389072685734,2018,rural
06_12,2019-20,11402.451117539984,28,9.341583621581707,2019,rural
06_12,2020-21,14790.293808601707,15,9.601726420862617,2020,rural
06_12,2021-22,13969.823603118599,17,9.544654825336542,2021,rural
06_12,2022-23,13499.131134931333,22,9.510380601979847,2022,rural
06_13,2017-18,20792.974379031475,4,9.942370438393322,2017,rural
06_13,2018-19,14027.695575184054,43,9.548788909797338,2018,rural
06_13,2019-20,8788.852226328368,21,9.081239404943762,2019,rural
06_13,2020-21,7930.911212494952,20,8.978523215025692,2020,rural
06_13,2021-22,21155.15922556254,13,9.959639089741893,2021,rural
06_13,2022-23,20112.133479313958,19,9.909078567607626,2022,rural
06_14,2017-18,13240.758960886433,12,9.491055151177871,2017,rural
06_14,2018-19,19037.973022228103,16,9.854190843761613,2018,rural
06_14,2019-20,15751.412359312677,10,9.664685313840495,2019,rural
06_14,2020-21,21808.46568118551,18,9.990053507394384,2020,rural
06_14,2021-22,18715.073215801953,12,9.83708453247632,2021,rural
06_14,2022-23,25828.713711564786,20,10.159242086613938,2022,rural
06_15,2017-18,8679.003932817808,3,9.068662046785956,2017,rural
06_15,2018-19,27462.800636716376,17,10.220587663805139,2018,rural
06_15,2019-20,16781.313050859757,7,9.72802122790491,2019,rural
06_15,2020-21,21648.351793149333,6,9.982684600885944,2020,rural
06_15,2021-22,27036.292264128795,8,10.2049354003456,2021,rural
06_15,2022-23,11830.25080195221,7,9.378415157250851,2022,rural
06_16,2017-18,19578.348963123477,5,9.882179589910328,2017,rural
06_16,2018-19,11372.232126318168,3,9.338929884655265,2018,rural
06_16,2020-21,11647.677913156971,10,9.362862118367765,2020,rural
06_16,2021-22,19376.818652413014,22,9.871832715747411,2021,rural
06_16,2022-23,26745.64539221852,9,10.19412694999663,2022,rural
