plfs_state_code,plfs_dist_code,state_district,district_name
06,10,06_10,Karnal
06,11,06_11,Kurukshetra
06,12,06_12,Mahendragarh
06,13,06_13,Mewat
06,14,06_14,Palwal
06,15,06_15,Panchkula
06,16,06_16,Panipat
06,17,06_17,Rewari
06,18,06_18,Rohtak
06,19,06_19,Sirsa
06,20,06_20,Sonipat
06,21,06_21,Yamuna Nagar
06,22,06_22,Mohindergarh
07,01,07_01,Central Delhi
07,02,07_02,East Delhi
07,03,07_03,New Delhi
07,04,07_04,North Delhi
07,05,07_05,North East Delhi
07,06,07_06,North West Delhi
07,07,07_07,Shahdara
07,08,07_08,South Delhi
07,09,07_09,South East Delhi
07,10,07_10,South West Delhi
07,11,07_11,West Delhi
08,01,08_01,Ajmer
08,02,08_02,Alwar
08,03,08_03,Banswara
08,04,08_04,Baran
08,05,08_05,Barmer
08,06,08_06,Bharatpur
08,07,08_07,Bhilwara
08,08,08_08,Bikaner
08,09,08_09,Bundi
08,10,08_10,Chittorgarh
08,11,08_11,Churu
08,12,08_12,Dausa
08,13,08_13,Dholpur
08,14,08_14,Dungarpur
08,15,08_15,Hanumangarh
08,16,08_16,Jaipur
08,17,08_17,Jaisalmer
08,18,08_18,Jalor
08,19,08_19,Jhalawar
08,20,08_20,Jhunjhunu
08,21,08_21,Jodhpur
08,22,08_22,Karauli
08,23,08_23,Kota
08,24,08_24,Nagaur
08,25,08_25,Pali
08,26,08_26,Pratapgarh
08,27,08_27,Rajsamand
08,28,08_28,Sawai Madhopur
08,29,08_29,Sikar
08,30,08_30,Sirohi
08,31,08_31,Sri Ganganagar
08,32,08_32,Tonk
08,33,08_33,Udaipur
09,01,09_01,Agra
09,02,09_02,Aligarh
09,03,09_03,Allahabad
09,04,09_04,Ambedkar Nagar
09,05,09_05,Amethi
09,06,09_06,Amroha
09,07,09_07,Auraiya
09,08,09_08,Azamgarh
09,09,09_09,Baghpat
09,10,09_10,Bahraich
09,11,09_11,Ballia
09,12,09_12,Balrampur
09,13,09_13,Banda
09,14,09_14,Barabanki
09,15,09_15,Bareilly
09,16,09_16,Basti
09,17,09_17,Bijnor
09,18,09_18,Budaun
09,19,09_19,Bulandshahr
09,20,09_20,Chandauli
09,21,09_21,Chitrakoot
09,22,09_22,Deoria
09,23,09_23,Etah
09,24,09_24,Etawah
09,25,09_25,Faizabad
09,26,09_26,Farrukhabad
09,27,09_27,Fatehpur
09,28,09_28,Firozabad
09,29,09_29,Gautam Buddha Nagar
09,30,09_30,Ghaziabad
09,31,09_31,Ghazipur
09,32,09_32,Gonda
09,33,09_33,Gorakhpur
09,34,09_34,Hamirpur
09,35,09_35,Hapur
09,36,09_36,Hardoi
09,37,09_37,Hathras
09,38,09_38,Jalaun
09,39,09_39,Jaunpur
09,40,09_40,Jhansi
09,41,09_41,Kannauj
09,42,09_42,Kanpur Dehat
09,43,09_43,Kanpur Nagar
09,44,09_44,Kasganj
09,45,09_45,Kaushambi
09,46,09_46,Kheri
09,47,09_47,Kushinagar
09,48,09_48,Lalitpur
09,49,09_49,Lucknow
09,50,09_50,Maharajganj
09,51,09_51,Mahoba
09,52,09_52,Mainpuri
09,53,09_53,Mathura
09,54,09_54,Mau
09,55,09_55,Meerut
09,56,09_56,Mirzapur
09,57,09_57,Moradabad
09,58,09_58,Muzaffarnagar
09,59,09_59,Pilibhit
09,60,09_60,Pratapgarh
09,61,09_61,Raebareli
09,62,09_62,Rampur
09,63,09_63,Saharanpur
09,64,09_64,Sant Kabir Nagar
09,65,09_65,Sant Ravidas Nagar
09,66,09_66,Shahjahanpur
09,67,09_67,Shamli
09,68,09_68,Shravasti
09,69,09_69,Siddharthnagar
09,70,09_70,Sitapur
09,71,09_71,Sonbhadra
09,72,09_72,Sultanpur
09,73,09_73,Unnao
09,74,09_74,Varanasi
10,01,10_01,Araria
10,02,10_02,Arwal
10,03,10_03,Aurangabad
10,04,10_04,Banka
10,05,10_05,Begusarai
10,06,10_06,Bhagalpur
10,07,10_07,Bhojpur
10,08,10_08,Buxar
10,09,10_09,Darbhanga
10,10,10_10,Gaya
10,11,10_11,Gopalganj
10,12,10_12,Jamui
10,13,10_13,Jehanabad
10,14,10_14,Kaimur
10,15,10_15,Katihar
10,16,10_16,Khagaria
10,17,10_17,Kishanganj
10,18,10_18,Lakhisarai
10,19,10_19,Madhepura
10,20,10_20,Madhubani
10,21,10_21,Munger
10,22,10_22,Muzaffarpur
10,23,10_23,Nalanda
10,24,10_24,Nawada
10,25,10_25,Pashchim Champaran
10,26,10_26,Patna
10,27,10_27,Purbi Champaran
10,28,10_28,Purnia
10,29,10_29,Rohtas
10,30,10_30,Saharsa
10,31,10_31,Samastipur
10,32,10_32,Saran
10,33,10_33,Sheikhpura
10,34,10_34,Sheohar
10,35,10_35,Sitamarhi
10,36,10_36,Siwan
10,37,10_37,Supaul
10,38,10_38,Vaishali
11,01,11_01,East Sikkim
11,02,11_02,North Sikkim
11,03,11_03,South Sikkim
11,04,11_04,West Sikkim
12,01,12_01,Anjaw
12,02,12_02,Changlang
12,03,12_03,Dibang Valley
12,04,12_04,East Kameng
12,05,12_05,East Siang
12,06,12_06,Kurung Kumey
12,07,12_07,Lohit
12,08,12_08,Longding
12,09,12_09,Lower Dibang Valley
12,10,12_10,Lower Subansiri
12,11,12_11,Namsai
12,12,12_12,Papum Pare
12,13,12_13,Tawang
12,14,12_14,Tirap
12,15,12_15,Upper Siang
12,16,12_16,Upper Subansiri
12,17,12_17,West Kameng
12,18,12_18,West Siang
13,01,13_01,Dimapur
13,02,13_02,Kiphire
13,03,13_03,Kohima
13,04,13_04,Longleng
13,05,13_05,Mokokchung
13,06,13_06,Mon
13,07,13_07,Peren
13,08,13_08,Phek
13,09,13_09,Tuensang
13,10,13_10,Wokha
13,11,13_11,Zunheboto
14,01,14_01,Bishnupur
14,02,14_02,Chandel
14,03,14_03,Churachandpur
14,04,14_04,Imphal East
14,05,14_05,Imphal West
14,06,14_06,Senapati
14,07,14_07,Tamenglong
14,08,14_08,Thoubal
14,09,14_09,Ukhrul
15,01,15_01,Aizawl
15,02,15_02,Champhai
15,03,15_03,Kolasib
15,04,15_04,Lawngtlai
15,05,15_05,Lunglei
15,06,15_06,Mamit
15,07,15_07,Saiha
15,08,15_08,Serchhip
16,01,16_01,Dhalai
16,02,16_02,Gomati
16,03,16_03,Khowai
16,04,16_04,North Tripura
16,05,16_05,Sepahijala
16,06,16_06,South Tripura
16,07,16_07,Unakoti
16,08,16_08,West Tripura
17,01,17_01,East Garo Hills
17,02,17_02,East Jaintia Hills
17,03,17_03,East Khasi Hills
17,04,17_04,North Garo Hills
17,05,17_05,Ri Bhoi
17,06,17_06,South Garo Hills
17,07,17_07,South West Garo Hills
17,08,17_08,West Garo Hills
17,09,17_09,West Jaintia Hills
17,10,17_10,West Khasi Hills
17,11,17_11,Eastern West Khasi Hills
17,12,17_12,South West Khasi Hills
17,13,17_13,Mairang
18,01,18_01,Baksa
18,02,18_02,Barpeta
18,03,18_03,Biswanath
18,04,18_04,Bongaigaon
18,05,18_05,Cachar
18,06,18_06,Charaideo
18,07,18_07,Chirang
18,08,18_08,Darrang
18,09,18_09,Dhemaji
18,10,18_10,Dhubri
18,11,18_11,Dibrugarh
18,12,18_12,Dima Hasao
18,13,18_13,Goalpara
18,14,18_14,Golaghat
18,15,18_15,Hailakandi
18,16,18_16,Hojai
18,17,18_17,Jorhat
18,18,18_18,Kamrup
18,19,18_19,Kamrup Metropolitan
18,20,18_20,Karbi Anglong
18,21,18_21,Karimganj
18,22,18_22,Kokrajhar
18,23,18_23,Lakhimpur
18,24,18_24,Majuli
18,25,18_25,Morigaon
18,26,18_26,Nagaon
18,27,18_27,Nalbari
18,28,18_28,Sivasagar
18,29,18_29,Sonitpur
18,30,18_30,South Salmara-Mankachar
18,31,18_31,Tinsukia
18,32,18_32,Udalguri
18,33,18_33,West Karbi Anglong
19,01,19_01,Bankura
19,02,19_02,Bardhaman
19,03,19_03,Birbhum
19,04,19_04,Cooch Behar
19,05,19_05,Dakshin Dinajpur
19,06,19_06,Darjeeling
19,07,19_07,Hooghly
19,08,19_08,Howrah
19,09,19_09,Jalpaiguri
19,10,19_10,Koch Bihar
19,11,19_11,Kolkata
19,12,19_12,Maldah
19,13,19_13,Murshidabad
19,14,19_14,Nadia
19,15,19_15,North 24 Parganas
19,16,19_16,Paschim Medinipur
19,17,19_17,Purba Medinipur
19,18,19_18,Purulia
19,19,19_19,South 24 Parganas
19,20,19_20,Uttar Dinajpur
19,21,19_21,Kalimpong
19,22,19_22,Paschim Bardhaman
19,23,19_23,Purba Bardhaman
20,01,20_01,Bokaro
20,02,20_02,Chatra
20,03,20_03,Deoghar
20,04,20_04,Dhanbad
20,05,20_05,Dumka
20,06,20_06,East Singhbhum
20,07,20_07,Garhwa
20,08,20_08,Giridih
20,09,20_09,Godda
20,10,20_10,Gumla
20,11,20_11,Hazaribagh
20,12,20_12,Jamtara
20,13,20_13,Khunti
20,14,20_14,Koderma
20,15,20_15,Latehar
20,16,20_16,Lohardaga
20,17,20_17,Pakur
20,18,20_18,Palamu
20,19,20_19,Ramgarh
20,20,20_20,Ranchi
20,21,20_21,Sahibganj
20,22,20_22,Saraikela Kharsawan
20,23,20_23,Simdega
20,24,20_24,West Singhbhum
21,01,21_01,Angul
21,02,21_02,Balangir
21,03,21_03,Balasore
21,04,21_04,Bargarh
21,05,21_05,Boudh
21,06,21_06,Cuttack
21,07,21_07,Deogarh
21,08,21_08,Dhenkanal
21,09,21_09,Gajapati
21,10,21_10,Ganjam
21,11,21_11,Jagatsinghpur
21,12,21_12,Jajpur
21,13,21_13,Jharsuguda
21,14,21_14,Kalahandi
21,15,21_15,Kandhamal
21,16,21_16,Kendrapara
21,17,21_17,Kendujhar
21,18,21_18,Khordha
21,19,21_19,Koraput
21,20,21_20,Malkangiri
21,21,21_21,Mayurbhanj
21,22,21_22,Nabarangpur
21,23,21_23,Nayagarh
21,24,21_24,Nuapada
21,25,21_25,Puri
21,26,21_26,Rayagada
21,27,21_27,Sambalpur
21,28,21_28,Sonapur
21,29,21_29,Sundargarh
21,30,21_30,Subarnapur
22,01,22_01,Balod
22,02,22_02,Baloda Bazar
22,03,22_03,Balrampur
22,04,22_04,Bastar
22,05,22_05,Bemetara
22,06,22_06,Bijapur
22,07,22_07,Bilaspur
22,08,22_08,Dantewada
22,09,22_09,Dhamtari
22,10,22_10,Durg
22,11,22_11,Gariaband
22,12,22_12,Janjgir-Champa
22,13,22_13,Jashpur
22,14,22_14,Kabirdham
22,15,22_15,Kanker
22,16,22_16,Kondagaon
22,17,22_17,Korba
22,18,22_18,Koriya
22,19,22_19,Mahasamund
22,20,22_20,Mungeli
22,21,22_21,Narayanpur
22,22,22_22,Raigarh
22,23,22_23,Raipur
22,24,22_24,Rajnandgaon
22,25,22_25,Sukma
22,26,22_26,Surajpur
22,27,22_27,Surguja
23,01,23_01,Agar Malwa
23,02,23_02,Alirajpur
23,03,23_03,Anuppur
23,04,23_04,Ashoknagar
23,05,23_05,Balaghat
23,06,23_06,Barwani
23,07,23_07,Betul
23,08,23_08,Bhind
23,09,23_09,Bhopal
23,10,23_10,Burhanpur
23,11,23_11,Chhatarpur
23,12,23_12,Chhindwara
23,13,23_13,Damoh
23,14,23_14,Datia
23,15,23_15,Dewas
23,16,23_16,Dhar
23,17,23_17,Dindori
23,18,23_18,Guna
23,19,23_19,Gwalior
23,20,23_20,Harda
23,21,23_21,Hoshangabad
23,22,23_22,Indore
23,23,23_23,Jabalpur
23,24,23_24,Jhabua
23,25,23_25,Katni
23,26,23_26,Khandwa
23,27,23_27,Khargone
23,28,23_28,Mandla
23,29,23_29,Mandsaur
23,30,23_30,Morena
23,31,23_31,Narsinghpur
23,32,23_32,Neemuch
23,33,23_33,Niwari
23,34,23_34,Panna
23,35,23_35,Raisen
23,36,23_36,Rajgarh
23,37,23_37,Ratlam
23,38,23_38,Rewa
23,39,23_39,Sagar
23,40,23_40,Satna
23,41,23_41,Sehore
23,42,23_42,Seoni
23,43,23_43,Shahdol
23,44,23_44,Shajapur
23,45,23_45,Sheopur
23,46,23_46,Shivpuri
23,47,23_47,Sidhi
23,48,23_48,Singrauli
23,49,23_49,Tikamgarh
23,50,23_50,Ujjain
23,51,23_51,Umaria
23,52,23_52,Vidisha
24,01,24_01,Ahmedabad
24,02,24_02,Amreli
24,03,24_03,Anand
24,04,24_04,Aravalli
24,05,24_05,Banaskantha
24,06,24_06,Bharuch
24,07,24_07,Bhavnagar
24,08,24_08,Botad
24,09,24_09,Chhota Udaipur
24,10,24_10,Dahod
24,11,24_11,Dang
24,12,24_12,Devbhoomi Dwarka
24,13,24_13,Gandhinagar
24,14,24_14,Gir Somnath
24,15,24_15,Jamnagar
24,16,24_16,Junagadh
24,17,24_17,Kheda
24,18,24_18,Mahisagar
24,19,24_19,Mehsana
24,20,24_20,Morbi
24,21,24_21,Narmada
24,22,24_22,Navsari
24,23,24_23,Panchmahal
24,24,24_24,Patan
24,25,24_25,Porbandar
24,26,24_26,Rajkot
24,27,24_27,Sabarkantha
24,28,24_28,Surat
24,29,24_29,Surendranagar
24,30,24_30,Tapi
24,31,24_31,Vadodara
24,32,24_32,Valsad
24,33,24_33,Botad
25,01,25_01,Daman
25,02,25_02,Diu
25,03,25_03,Dadra & Nagar Haveli
26,01,26_01,Dadra & Nagar Haveli
27,01,27_01,Ahmednagar
27,02,27_02,Akola
27,03,27_03,Amravati
27,04,27_04,Aurangabad
27,05,27_05,Beed
27,06,27_06,Bhandara
27,07,27_07,Buldhana
27,08,27_08,Chandrapur
27,09,27_09,Dhule
27,10,27_10,Gadchiroli
27,11,27_11,Gondia
27,12,27_12,Hingoli
27,13,27_13,Jalgaon
27,14,27_14,Jalna
27,15,27_15,Kolhapur
27,16,27_16,Latur
27,17,27_17,Mumbai City
27,18,27_18,Mumbai Suburban
27,19,27_19,Nagpur
27,20,27_20,Nanded
27,21,27_21,Nandurbar
27,22,27_22,Nashik
27,23,27_23,Osmanabad
27,24,27_24,Palghar
27,25,27_25,Parbhani
27,26,27_26,Pune
27,27,27_27,Raigad
27,28,27_28,Ratnagiri
27,29,27_29,Sangli
27,30,27_30,Satara
27,31,27_31,Sindhudurg
27,32,27_32,Solapur
27,33,27_33,Thane
27,34,27_34,Wardha
27,35,27_35,Washim
27,36,27_36,Yavatmal
28,01,28_01,Anantapur
28,02,28_02,Chittoor
28,03,28_03,East Godavari
28,04,28_04,Guntur
28,05,28_05,Krishna
28,06,28_06,Kurnool
28,07,28_07,Nellore
28,08,28_08,Prakasam
28,09,28_09,Srikakulam
28,10,28_10,Visakhapatnam
28,11,28_11,Vizianagaram
28,12,28_12,West Godavari
28,13,28_13,Y.S.R.
29,01,29_01,Bagalkot
29,02,29_02,Bangalore Rural
29,03,29_03,Bangalore Urban
29,04,29_04,Belgaum
29,05,29_05,Bellary
29,06,29_06,Bidar
29,07,29_07,Bijapur
29,08,29_08,Chamrajnagar
29,09,29_09,Chikkaballapura
29,10,29_10,Chikkamagaluru
29,11,29_11,Chitradurga
29,12,29_12,Dakshina Kannada
29,13,29_13,Davanagere
29,14,29_14,Dharwad
29,15,29_15,Gadag
29,16,29_16,Gulbarga
29,17,29_17,Hassan
29,18,29_18,Haveri
29,19,29_19,Kodagu
29,20,29_20,Kolar
29,21,29_21,Koppal
29,22,29_22,Mandya
29,23,29_23,Mysore
29,24,29_24,Raichur
29,25,29_25,Ramanagara
29,26,29_26,Shimoga
29,27,29_27,Tumkur
29,28,29_28,Udupi
29,29,29_29,Uttara Kannada
29,30,29_30,Yadgir
30,01,30_01,North Goa
30,02,30_02,South Goa
31,01,31_01,Lakshadweep
32,01,32_01,Alappuzha
32,02,32_02,Ernakulam
32,03,32_03,Idukki
32,04,32_04,Kannur
32,05,32_05,Kasaragod
32,06,32_06,Kollam
32,07,32_07,Kottayam
32,08,32_08,Kozhikode
32,09,32_09,Malappuram
32,10,32_10,Palakkad
32,11,32_11,Pathanamthitta
32,12,32_12,Thiruvananthapuram
32,13,32_13,Thrissur
32,14,32_14,Wayanad
33,01,33_01,Ariyalur
33,02,33_02,Chennai
33,03,33_03,Coimbatore
33,04,33_04,Cuddalore
33,05,33_05,Dharmapuri
33,06,33_06,Dindigul
33,07,33_07,Erode
33,08,33_08,Kanchipuram
33,09,33_09,Kanyakumari
33,10,33_10,Karur
33,11,33_11,Krishnagiri
33,12,33_12,Madurai
33,13,33_13,Nagapattinam
33,14,33_14,Namakkal
33,15,33_15,Nilgiris
33,16,33_16,Perambalur
33,17,33_17,Pudukkottai
33,18,33_18,Ramanathapuram
33,19,33_19,Salem
33,20,33_20,Sivaganga
33,21,33_21,Thanjavur
33,22,33_22,Theni
33,23,33_23,Thoothukudi
33,24,33_24,Tiruchirappalli
33,25,33_25,Tirunelveli
33,26,33_26,Tiruppur
33,27,33_27,Tiruvallur
33,28,33_28,Tiruvannamalai
33,29,33_29,Tiruvarur
33,30,33_30,Vellore
33,31,33_31,Villupuram
33,32,33_32,Virudhunagar
34,01,34_01,Karaikal
34,02,34_02,Mahe
34,03,34_03,Puducherry
34,04,34_04,Yanam
35,01,35_01,Nicobar
35,02,35_02,North & Middle Andaman
35,03,35_03,South Andaman
36,01,36_01,Adilabad
36,02,36_02,Bhadradri Kothagudem
36,03,36_03,Hyderabad
36,04,36_04,Jagtial
36,05,36_05,Jangaon
36,06,36_06,Jayashankar Bhupalpally
36,07,36_07,Jogulamba Gadwal
36,08,36_08,Kamareddy
36,09,36_09,Karimnagar
36,10,36_10,Khammam
36,11,36_11,Komaram Bheem Asifabad
36,12,36_12,Mahabubabad
36,13,36_13,Mahabubnagar
36,14,36_14,Mancherial
36,15,36_15,Medak
36,16,36_16,Medchal Malkajgiri
36,17,36_17,Nagarkurnool
36,18,36_18,Nalgonda
36,19,36_19,Nirmal
36,20,36_20,Nizamabad
36,21,36_21,Peddapalli
36,22,36_22,Rajanna Sircilla
36,23,36_23,Rangareddy
36,24,36_24,Sangareddy
36,25,36_25,Siddipet
36,26,36_26,Suryapet
36,27,36_27,Vikarabad
36,28,36_28,Wanaparthy
36,29,36_29,Warangal Rural
36,30,36_30,Warangal Urban
36,31,36_31,Yadadri Bhuvanagiri
36,32,36_32,Mulugu
36,33,36_33,Narayanpet
37,01,37_01,Kargil
37,02,37_02,Leh
